model.name,model.id,firm.id,cdid,id,price,mpd,air,mpg,space,hpwt,trend,share,outshr,y
AMGREM,23,15,1,129,-6.825617050920406,1.8881456043956044,0,1.6969999999999998,1.1502000000000001,0.5289968652037618,0,0.0010512928190053391,0.8801062901193832,0.8203655782846635
AMHORN,24,15,1,130,-6.245370137340159,1.935989010989011,0,1.7399999999999998,1.278,0.4943244232881729,0,6.700761893334934e-4,0.8801062901193832,0.36998105765485345
AMJAVL,25,15,1,132,-4.6527775447475666,1.7167994505494506,0,1.543,1.4592,0.4676134395566332,0,3.405273261743356e-4,0.8801062901193832,-0.30691498823696417
AMMATA,26,15,1,134,-4.9219133472167025,1.687870879120879,0,1.517,1.6068,0.4265402843601896,0,5.222418861359409e-4,0.8801062901193832,0.12072050026771652
AMAMBS,18,15,1,136,-2.833024458327813,1.504285714285714,0,1.3519999999999999,1.6458,0.45248868778280543,0,4.42423060771492e-4,0.8801062901193832,-0.0451437883207495
BKSKYL,53,19,1,138,-4.608333100303121,1.7268131868131869,0,1.552,1.6224,0.4508706467661691,0,0.0027560591517187595,0.8801062901193832,1.7841467311028438
BKLSAB,45,19,1,141,-1.9046293965994199,1.7279258241758242,0,1.553,1.768,0.5640019617459539,0,0.0026505939168516407,0.8801062901193832,1.7451286497477119
BKCNTU,40,19,1,143,-0.4922837175870729,2.194120879120879,0,1.972,1.768,0.7313675412119804,0,4.873417721518987e-4,0.8801062901193832,0.051555304120679324
BKELCT,41,19,1,144,0.37438294907959424,2.0561538461538467,0,1.848,1.816,0.7190139237616981,0,0.002415126882236487,0.8801062901193832,1.652096740246721
BKRIVE,50,19,1,145,1.2089508503141602,1.978269230769231,0,1.778,1.7440000000000002,0.7283236994219653,0,5.51397804307397e-4,0.8801062901193832,0.17504615286130676
CDCALA,86,19,1,146,3.2385804799437903,1.9181868131868132,0,1.7239999999999998,1.8079999999999998,0.7324840764331211,0,1.2719719239306498e-4,0.8801062901193832,-1.2916717854073152
CDDEVI,89,19,1,147,4.283024924388236,1.9126236263736267,0,1.719,1.8079999999999998,0.7293868921775898,0,0.0027046013558101865,0.8801062901193832,1.765299443648817
CDELDR,91,19,1,148,6.46821010957342,2.018324175824176,0,1.814,1.7760000000000002,0.7807486631016043,0,5.341202231687564e-4,0.8801062901193832,0.14321058695262767
CDFLTW,92,19,1,149,7.406481714511692,1.8925961538461542,0,1.701,1.832,0.7165109034267912,0,3.328633991241226e-4,0.8801062901193832,-0.32967817070850636
CVVEGA,150,19,1,150,-6.600925692895714,2.2119230769230773,0,1.988,1.122,0.41938490214352286,0,0.004004934309196712,0.8801062901193832,2.1578720934816937
CVNOVA,146,19,1,151,-5.823147915117937,1.8024725274725275,0,1.6199999999999999,1.387,0.48723118279569894,0,0.003532800407942888,0.8801062901193832,2.032435788427505
CVCHEV,135,19,1,153,-5.151542976846332,1.6823076923076923,0,1.512,1.5352000000000001,0.4517133956386293,0,0.00502996580478733,0.8801062901193832,2.385758101129486
CVCAMA,130,19,1,158,-4.549073841043862,1.6199999999999999,0,1.456,1.41,0.46864899806076277,0,0.0018117913492111104,0.8801062901193832,1.3646609668425524
CVMNTC,143,19,1,160,-3.3268516188216406,1.604423076923077,0,1.442,1.5732,0.702408256880734,0,0.002186498890155378,0.8801062901193832,1.55264649957509
CVBISC,129,19,1,161,-4.116975075611764,1.4175000000000002,0,1.274,1.736,0.3885316184351554,0,3.8030175775391446e-4,0.8801062901193832,-0.19644532674540827
CVBELA,128,19,1,163,-3.7787034706734923,1.4175000000000002,0,1.274,1.736,0.3885316184351554,0,7.316875637410762e-4,0.8801062901193832,0.4579432336668763
CVIMPA,140,19,1,165,-3.3885800138833684,1.4063736263736264,0,1.264,1.736,0.38563829787234044,0,0.008658482812406262,0.8801062901193832,2.9288844276476365
CVCAPR,131,19,1,167,-1.5540121126488007,1.4631181318681319,0,1.315,1.736,0.6311881188118812,0,0.0020887875697402363,0.8801062901193832,1.506928702769538
CVCORV,139,19,1,169,1.9003088750055195,1.8725686813186813,0,1.6829999999999998,1.2627,0.8432229856339788,0,3.5799988001679767e-4,0.8801062901193832,-0.25687771243613966
CRNEWP,121,16,1,170,-1.415740507710531,1.5287637362637367,0,1.374,1.8,0.6593143131143611,0,0.0010378097066410703,0.8801062901193832,0.8074573562958376
CR300 ,103,16,1,171,-0.1885800138833691,1.6578296703296704,0,1.49,1.8,0.7752834991900024,0,1.1968324434579158e-4,0.8801062901193832,-1.352561741325161
CRNEWY,122,16,1,172,0.3620372700672494,1.893708791208791,0,1.702,1.8,0.7727797001153403,0,3.386675865378847e-4,0.8801062901193832,-0.31239130806637405
DGCOLT,159,16,1,173,-6.835493594130282,2.3309752747252745,0,2.0949999999999998,1.0168,0.49504950495049505,0,4.25655408242846e-4,0.8801062901193832,-0.08378024559401087
DGDART,162,16,1,177,-5.712036804006826,1.9493406593406595,0,1.752,1.379,0.4310344827586207,0,0.0031208380826684263,0.8801062901193832,1.9084464972843511
DGCHLN,157,16,1,179,-5.0280861867228746,1.6544917582417582,0,1.4869999999999999,1.4784,0.4139072847682119,0,4.402783610294559e-4,0.8801062901193832,-0.050003198104062285
DGCORN,161,16,1,181,-4.904629396599418,1.6144368131868132,0,1.451,1.6146,0.4468412942989214,0,0.00184694642750015,0.8801062901193832,1.383878610947014
DGCHAR,156,16,1,184,-5.0774689027722575,1.5443406593406597,0,1.3880000000000001,1.5862,0.4510108864696734,0,6.017157597936289e-5,0.8801062901193832,-2.0402102826871893
DGPOLA,171,16,1,186,-3.6182096435129996,1.3785576923076925,0,1.239,1.768,0.38615179760319573,0,0.001076879236906833,0.8801062901193832,0.8444121780325551
DGMONA,169,16,1,188,-1.3342590262290486,1.5565796703296706,0,1.399,1.768,0.6790123456790124,0,2.739366488691583e-4,0.8801062901193832,-0.5245134925396329
FDPINT,229,18,1,190,-7.023147915117937,2.2664423076923077,0,2.037,1.1409999999999998,0.38481272447408926,0,0.00492343571899934,0.8801062901193832,2.3643515189581903
FDMAVE,226,18,1,192,-6.24290100153769,2.1307005494505495,0,1.9149999999999998,1.3277,0.384172109104879,0,0.003713870058191853,0.8801062901193832,2.0824193905881447
FDTORI,238,18,1,194,-5.163888655858678,1.711236263736264,0,1.538,1.5938999999999999,0.46429715017611267,0,0.004030325754394385,0.8801062901193832,2.1641921203417223
FDMUST,228,18,1,197,-4.573765199068554,1.7323763736263738,0,1.557,1.4249999999999998,0.4977686234122898,0,0.001843736876837243,0.8801062901193832,1.3821393387270282
FDCUST,211,18,1,201,-3.6429010015376893,1.4586675824175825,0,1.311,1.736,0.38095238095238093,0,5.09103725478433e-4,0.8801062901193832,0.09524141496673177
FDGALA,218,18,1,203,-2.8873454459821346,1.4430906593406596,0,1.2970000000000002,1.736,0.3768506056527591,0,0.0033081168636390906,0.8801062901193832,1.9667240194127489
FDLTD ,222,18,1,205,-2.0552466805500345,1.4475412087912087,0,1.301,1.736,0.6028636021100227,0,0.00481512088307637,0.8801062901193832,2.3421060657484087
FDTHNB,235,18,1,207,1.3126545540178647,2.0505906593406595,0,1.843,1.677,0.8202323991797675,0,5.77254184414182e-4,0.8801062901193832,0.22087233339704238
LCCONT,277,18,1,209,6.557098998462312,2.079519230769231,0,1.8690000000000002,1.8,0.7196372239747634,0,5.369548263243146e-4,0.8801062901193832,0.14850360498112103
LCMRKI,280,18,1,210,9.999074307104284,1.9704807692307695,0,1.7710000000000001,1.736,0.7295622626424145,0,4.4735736996820446e-4,0.8801062901193832,-0.03405260310533009
MCCOME,320,18,1,212,-6.124382483019171,2.127362637362638,0,1.9120000000000001,1.3418999999999999,0.3828483920367534,0,9.354640350350952e-4,0.8801062901193832,0.7036323366424826
MCMONT,330,18,1,214,-4.902160260796949,1.6489285714285715,0,1.482,1.6380000000000001,0.44919454770755884,0,8.612844201811747e-4,0.8801062901193832,0.6210144232183703
MCCOUG,321,18,1,216,-3.64043186573522,1.6578296703296704,0,1.49,1.4972,0.720504353047133,0,7.476003359529666e-4,0.8801062901193832,0.4794581612684219
MCMONT,330,18,1,217,-2.2354935941302827,1.5332142857142856,0,1.378,1.8,0.5956813104988831,0,4.6890935269062334e-4,0.8801062901193832,0.012999108232382817
MCMARQ,327,18,1,218,-0.7145059398092943,1.6300137362637366,0,1.465,1.8,0.5982512655315233,0,0.0011277971084048234,0.8801062901193832,0.890611183756123
ODCUTL,376,19,1,221,-4.356481248451271,1.8647802197802201,0,1.6760000000000002,1.6016000000000001,0.44587945879458796,0,0.0037665726798248246,0.8801062901193832,2.0965103997739387
ODDELT,377,19,1,224,-1.9219133472167034,1.730151098901099,0,1.5550000000000002,1.768,0.5783132530120482,0,0.0017000419941208232,0.8801062901193832,1.3009978684750472
OD98  ,370,19,1,226,0.21882739352403746,1.8625549450549452,0,1.674,1.7933000000000001,0.7163644504141483,0,0.0016992021117043614,0.8801062901193832,1.3005037101225394
ODTORN,385,19,1,227,1.712654554017865,1.9204120879120883,0,1.7260000000000002,1.7600000000000002,0.7739938080495355,0,5.807336972823804e-4,0.8801062901193832,0.22688193573428173
PLVALA,421,16,1,231,-5.855246680550035,1.8525412087912088,0,1.6649999999999998,1.3607999999999998,0.4409171075837743,0,0.003695737596736457,0.8801062901193832,2.0775250699990373
PLBARC,405,16,1,233,-5.208333100303122,1.6678434065934067,0,1.499,1.4025,0.41528239202657813,0,2.8864958905753195e-4,0.8801062901193832,-0.4721969058526696
PLSATL,418,16,1,236,-5.010802236105591,1.6021978021978023,0,1.44,1.6195,0.4462911665127731,0,0.0017255084288199652,0.8801062901193832,1.3158666636944965
PLFURY,410,16,1,240,-3.9935182854883067,1.4175000000000002,0,1.274,1.7280000000000002,0.3913630229419703,0,4.295548623192753e-4,0.8801062901193832,-0.07466089510287333
PTVNTU,466,19,1,243,-5.618209643512999,1.7468406593406594,0,1.5699999999999998,1.4235,0.62018102581294,0,7.183394324794529e-4,0.8801062901193832,0.4395318408361719
PTLEMA,459,19,1,245,-4.5391972978339865,1.6578296703296704,0,1.49,1.5938999999999999,0.44905543511923196,0,0.0024444027836102947,0.8801062901193832,1.6641457481023085
PTFIRB,452,19,1,248,-4.237962729932752,1.604423076923077,0,1.442,1.4207999999999998,0.4582806573957016,0,7.910792489051532e-4,0.8801062901193832,0.5359877873102175
PTCATL,450,19,1,250,-2.4527775447475673,1.4697939560439561,0,1.3210000000000002,1.768,0.613195977434388,0,0.0024071929929809824,0.8801062901193832,1.6488062507647436
PTBNNV,448,19,1,251,-1.3663577916611462,1.5343269230769232,0,1.379,1.8,0.6646095418941371,0,6.062151298818166e-4,0.8801062901193832,0.2698245591885966
PTGRNP,457,19,1,253,-0.5095676682043582,1.733489010989011,0,1.558,1.6401,0.7765984985762361,0,0.0010585668006479092,0.8801062901193832,0.8272608336795129
ADSUPE,15,7,1,1474,-4.1194442114142324,2.2019093406593404,0,1.9789999999999999,1.1136,0.4657661853749418,0,3.76447297378367e-5,0.8801062901193832,-2.5092173996431857
AD100L,4,7,1,1475,-2.8848763101796653,1.9827197802197805,0,1.782,1.2627,0.4879083580823079,0,2.810156578079069e-4,0.8801062901193832,-0.4989999741705038
CPSC20,100,25,1,1478,-5.724382483019172,2.3320879120879123,0,2.096,1.092,0.3738783649052842,0,6.365258863759073e-4,0.8801062901193832,0.3186147233580279
DTCB11,185,2,1,1479,-7.4749997669697885,2.7971703296703305,0,2.5140000000000002,0.9059999999999999,0.428481411468179,0,7.982782410462535e-4,0.8801062901193832,0.545046845979626
DTPL51,199,2,1,1480,-6.526851618821641,2.470054945054945,0,2.2199999999999998,0.992,0.43935052531041074,0,0.001576174335593017,0.8801062901193832,1.2253455196429188
FT850 ,243,17,1,1481,-7.921913347216702,2.7893818681318683,0,2.507,0.7896000000000001,0.2777777777777778,0,3.7509748635191073e-05,0.8801062901193832,-2.5128095008913967
FT124 ,239,17,1,1482,-6.623147915117936,2.4389010989010993,0,2.192,1.0368000000000002,0.37593984962406013,0,9.858119863219149e-5,0.8801062901193832,-1.5465298035054396
HD600 ,255,3,1,1484,-8.316975075611763,2.8361126373626377,0,2.549,0.8586000000000001,0.24375,0,1.4261503389525467e-4,0.8801062901193832,-1.177261434229571
MZ616 ,347,4,1,1485,-6.341666433636456,2.5423763736263743,0,2.285,1.0106,0.4367245657568238,0,4.5038694582758413e-5,0.8801062901193832,-2.3298883637856864
MB220/,293,9,1,1487,1.3546298626598396,1.8581043956043957,0,1.67,1.295,0.4097222222222222,0,4.0614313996040555e-5,0.8801062901193832,-2.433289797736851
MB2200,294,9,1,1488,1.6188273935240378,1.8202747252747253,0,1.636,1.295,0.39851401553529214,0,9.022736816845642e-5,0.8801062901193832,-1.6350775661393406
MB256/,299,9,1,1489,3.9867286280919405,1.530989010989011,0,1.376,1.295,0.5252592840414855,0,9.955606215129882e-5,0.8801062901193832,-1.5366894394890966
MB280S,304,9,1,1491,6.680555788585764,1.650041208791209,0,1.483,1.1829999999999998,0.6226219301279834,0,2.1491991121243026e-4,0.8801062901193832,-0.7671449109467989
OP36  ,390,26,1,1492,-7.062654087957443,2.6124725274725273,0,2.348,1.0530000000000002,0.3335318642048839,0,3.29803827464155e-5,0.8801062901193832,-2.6414974412142556
